suite,instance,variant,reason,profile,geom_class,geom_risk_score,geom_risky_gate,len_before,len_after,gap_exact_after,ref_gap,len2,gap2,time_sec
core,ch130,EDP_LOCAL_3SECT,regression_vs_ref(1.33->5.12)|geom=dense+isotropic|risk=0.39,STAGE3_POLISH,dense+isotropic,0.3866684981985557,True,6423,6191,1.32569558101473,1.32569558101473,6191,1.32569558101473,4.944320917129517
core,ch150,EDP_LOCAL_3SECT,regression_vs_ref(3.94->5.59)|geom=dense+isotropic|risk=0.36,EDP_LOCAL_ACCURATE,dense+isotropic,0.36229544670808816,True,6893,6785,3.936887254901961,3.936887254901961,6785,3.936887254901961,4.540020942687988
core,d198,EDP_3SECT,regression_vs_ref(1.96->5.29)|geom=dense+clustered|risk=0.71,EDP_ACCURATE,dense+clustered,0.7146464646464646,True,16614,16090,1.964512040557668,1.964512040557668,16090,1.964512040557668,4.040878772735596
core,d198,EDP_LOCAL_3SECT,regression_vs_ref(4.04->4.55)|geom=dense+clustered|risk=0.71,EDP_LOCAL_MINI,dense+clustered,0.7146464646464646,True,16498,16417,4.0367553865652726,4.0367553865652726,16417,4.0367553865652726,1.923189640045166
core,eil101,EDP_3SECT,regression_vs_ref(2.38->4.13)|geom=dense+isotropic|risk=0.36,STAGE3_POLISH,dense+isotropic,0.3646640921257417,True,655,644,2.384737678855326,2.384737678855326,644,2.384737678855326,2.4964065551757812
core,eil76,EDP_3SECT,regression_vs_ref(2.79->3.72)|geom=dense+isotropic|risk=0.33,STAGE3_POLISH,dense+isotropic,0.32814558398829974,True,558,553,2.7881040892193307,2.7881040892193307,553,2.7881040892193307,2.9482288360595703
core,eil76,EDP_LOCAL_3SECT,regression_vs_ref(2.04->3.72)|geom=dense+isotropic|risk=0.33,STAGE3_POLISH,dense+isotropic,0.32814558398829974,True,558,549,2.0446096654275094,2.044609665427509,549,2.0446096654275094,5.238715410232544
core,gr202,EDP_3SECT,regression_vs_ref(3.82->6.40)|geom=dense+isotropic+clustered|risk=0.73,EDP_ACCURATE,dense+isotropic+clustered,0.7326037209006823,True,42731,41694,3.8197211155378485,3.819721115537849,41694,3.8197211155378485,6.503509998321533
core,gr666,EDP_3SECT,regression_vs_ref(8.09->9.45)|geom=dense+clustered|risk=0.74,EDP_ACCURATE,dense+clustered,0.737987987987988,True,322174,318175,8.091167897594087,8.091167897594087,318175,8.091167897594087,26.105453491210938
core,gr666,EDP_LOCAL_3SECT,regression_vs_ref(8.09->9.45)|geom=dense+clustered|risk=0.74,EDP_LOCAL_ACCURATE,dense+clustered,0.737987987987988,True,322174,318175,8.091167897594087,8.091167897594087,318175,8.091167897594087,29.242921590805054
core,lin318,EDP_3SECT,regression_vs_ref(6.25->6.78)|geom=dense+isotropic|risk=0.53,EDP_MINI,dense+isotropic,0.5326608003935177,True,44880,44657,6.252825430060197,6.252825430060197,44657,6.252825430060197,4.1515421867370605
core,lin318,EDP_LOCAL_3SECT,regression_vs_ref(6.25->6.78)|geom=dense+isotropic|risk=0.53,EDP_LOCAL_MINI,dense+isotropic,0.5326608003935177,True,44880,44657,6.252825430060197,6.252825430060197,44657,6.252825430060197,4.2907469272613525
core,st70,EDP_3SECT,regression_vs_ref(2.07->3.11)|geom=dense+isotropic|risk=0.32,STAGE3_POLISH,dense+isotropic,0.32040262748626236,True,696,689,2.074074074074074,2.074074074074074,689,2.074074074074074,2.420633554458618
