suite,instance,n,edge_weight_type,geom_hull_frac,geom_bbox_aspect,geom_pca_aspect,geom_hull_fill,geom_nn_mean,geom_nn_cv,geom_risk_score,geom_rule_class,geom_guard_class,variant,length,opt_length,gap_percent,hk_opt_length,hk_gap_percent,hk_is_optimal,hk_time_sec,hk_status,mip_opt_length,mip_time_sec,mip_status,exact_length,exact_source,exact_gap_percent,time_sec,warnings,candidate_evals,tri_fallback_count,sector0_count,sector1_count,sector2_count,sector_unknown_count,twoopt_time_sec,twoopt_improvement,mf_nstarts,mf_best_start,mf_risk_score,mf_total_ils_time_sec,mf_best_ils_time_sec,mpa_used,mpa_time_sec,mpa_gens,mpa_pop,mpa_improvement,mpa_improved,beam_width_used,beam_generated_states,guardrail_triggered,guardrail_reason,guardrail_profile,guardrail_ref_gap,guardrail_len2,guardrail_gap2,guardrail_len_mini,guardrail_gap_mini,guardrail_time_mini_sec,guardrail_len_full,guardrail_gap_full,guardrail_time_full_sec,guardrail_len_stage3,guardrail_gap_stage3,guardrail_time_stage3_sec,guardrail_time_sec,guardrail_geom_risky,guardrail_geom_class,guardrail_geom_score,mf_guard_triggered,mf_guard_reason,mf_guard_profile,mf_guard_gap_before,mf_guard_gap_after,mf_guard_time_sec,best_src_variant,status,gap_exact,best_postboost_attempted,best_postboost_ran,best_postboost_time_sec,best_postboost_gain,best_postboost_len_before,best_postboost_len_after,best_postboost_reason,is_drift,bin_hull_frac,bin_pca_aspect,bin_nn_cv,_geom_risk
core,a280,280,EUC_2D,0.04285714285714286,1.75,1.8019419189113286,0.926875,8.344405240157464,0.17830754360788661,0.33190011727894103,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,2668.0,2579,3.4509499806126405,,,,,SKIP,,,SKIP,2579,OPT_TOUR,3.4509499806126405,3.221909761428833,,2296,0,33,21,20,6,0.035749197006225586,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,,,,,,,,,,0.0,True,dense+isotropic,0.33190011727894103,False,,,,,0.0,,OK,3.4509499806126405,,,,,,,,True,0-0.2,1.5-2,0-0.3,0.33190011727894103
core,ch130,130,EUC_2D,0.07692307692307693,1.0018880772564762,1.1507188071587242,0.9284701003536405,28.781967010863962,0.5583603542685324,0.3866684981985557,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,6214.0,6110,1.702127659574468,,,,,SKIP,,,SKIP,6110,OPT_TOUR,1.702127659574468,2.690600633621216,,3331,0,34,50,32,0,0.016982555389404297,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,6423.0,5.122749590834697,1.4570717811584473,6439.0,5.384615384615385,1.944467544555664,6191.0,1.32569558101473,1.5427815914154053,0.0,True,dense+isotropic,0.3866684981985557,False,,,,,0.0,,OK,1.702127659574468,,,,,,,,True,0-0.2,1-1.5,0.3-0.6,0.3866684981985557
core,ch150,150,EUC_2D,0.1,1.0171025565417828,1.1016364263352947,0.9015758955624487,32.0900903691933,0.4453895059302924,0.36229544670808816,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,6751.0,6528,3.4160539215686274,,,,,SKIP,,,SKIP,6528,OPT_TOUR,3.4160539215686274,2.5766122341156006,,2172,0,28,24,24,0,0.02655649185180664,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,6893.0,5.591299019607843,1.8979525566101074,6785.0,3.936887254901961,2.642068386077881,,,0.0,0.0,True,dense+isotropic,0.36229544670808816,False,,,,,0.0,,OK,3.4160539215686274,,,,,,,,True,0-0.2,1-1.5,0.3-0.6,0.36229544670808816
core,d198,198,EUC_2D,0.03535353535353535,2.0273276295923504,2.748735315036118,0.5153664984302492,44.254344323673905,1.8329255555891635,0.7146464646464646,dense_interior_elongated,dense+clustered,MF_EDP_ILS,16042.0,15780,1.6603295310519646,,,,,SKIP,,,SKIP,15780,OPT_TOUR,1.6603295310519646,19.424803972244263,,2200,0,19,15,28,18,0.026901721954345703,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,16417.0,4.0367553865652726,1.923189640045166,,,0.0,,,0.0,0.0,True,dense+clustered,0.7146464646464646,True,mf_worse_than_edp(7.81>1.96+1.00),MF_STRONG,7.813688212927756,1.6603295310519646,14.85507607460022,,OK,1.6603295310519646,,,,,,,,True,0-0.2,2-4,1.0+,0.7146464646464646
core,eil101,101,EUC_2D,0.09900990099009901,1.1384615384615384,1.0906080550732742,0.9272349272349273,5.1764677038383615,0.4147847050848168,0.3646640921257417,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,641.0,629,1.9077901430842608,,,,,SKIP,,,SKIP,629,OPT_TOUR,1.9077901430842608,2.3728883266448975,,1457,0,17,20,13,0,0.01421213150024414,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,655.0,4.133545310015898,1.094330072402954,655.0,4.133545310015898,1.0820825099945068,644.0,2.384737678855326,0.3199939727783203,0.0,True,dense+isotropic,0.3646640921257417,False,,,,,0.0,,OK,1.9077901430842608,,,,,,,,True,0-0.2,1-1.5,0.3-0.6,0.3646640921257417
core,gr202,202,GEO,0.039603960396039604,2.465809893307468,1.822338549626225,0.6445359553516475,1.6401930718849844,1.5860916252036397,0.7326037209006823,dense_interior_isotropic,dense+isotropic+clustered,MF_EDP_ILS,41593.0,40160,3.568227091633466,,,,,SKIP,,,SKIP,40160,OPT_TOUR,3.568227091633466,5.30665397644043,,4584,0,68,41,51,0,0.0335392951965332,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,42787.0,6.541334661354582,2.7163944244384766,41694.0,3.8197211155378485,3.7871155738830566,,,0.0,0.0,True,dense+isotropic+clustered,0.7326037209006823,False,,,,,0.0,,OK,3.568227091633466,,,,,,,,True,0-0.2,1.5-2,1.0+,0.7326037209006823
core,gr666,666,GEO,0.012012012012012012,1.9631666666666667,2.590980493872038,0.7601124057880786,3.2818753503689617,1.2004865400936908,0.737987987987988,dense_interior_elongated,dense+clustered,MF_EDP_ILS,316963.0,294358,7.679424374401239,,,,,SKIP,,,SKIP,294358,OPT_TOUR,7.679424374401239,7.446264743804932,,2335,0,25,31,24,0,0.14835309982299805,2055,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,322221.0,9.46568464251014,11.090905666351318,318175.0,8.091167897594087,18.152015924453735,,,0.0,0.0,True,dense+clustered,0.737987987987988,False,,,,,0.0,,OK,7.679424374401239,,,,,,,,True,0-0.2,2-4,1.0+,0.737987987987988
core,lin318,318,EUC_2D,0.02830188679245283,1.367063492063492,1.3347822630202766,0.9587320145496246,72.14885913307242,0.6937867788214432,0.5326608003935177,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,43717.0,42029,4.016274477146732,,,,,SKIP,,,SKIP,42029,OPT_TOUR,4.016274477146732,5.163387060165405,,4620,0,49,45,65,1,0.04904437065124512,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,44657.0,6.252825430060197,4.2907469272613525,,,0.0,,,0.0,0.0,True,dense+isotropic,0.5326608003935177,False,,,,,0.0,,OK,4.016274477146732,,,,,,,,True,0-0.2,1-1.5,0.6-1.0,0.5326608003935177
core,pcb442,442,EUC_2D,0.020361990950226245,1.2666666666666666,1.060518437845982,0.9087061403508772,100.08288055315163,0.2392247361017976,0.447073204319026,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,52842.0,50778,4.064752451849226,,,,,SKIP,,,SKIP,50778,OPT_TOUR,4.064752451849226,4.579850435256958,,2350,0,29,18,12,21,0.1345353126525879,581,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,44657.0,6.252825430060197,4.2907469272613525,,,0.0,,,0.0,0.0,True,dense+isotropic,0.447073204319026,False,,,,,0.0,,OK,4.064752451849226,,,,,,,,True,0-0.2,1-1.5,0-0.3,0.447073204319026
core,pr1002,1002,EUC_2D,0.014970059880239521,1.5490196078431373,1.3723331805283432,0.9194899478778853,182.12785878381035,0.4775598380525534,0.41348829255371755,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,280787.0,259045,8.393136327665077,,,,,SKIP,,,SKIP,259045,OPT_TOUR,8.393136327665077,8.80786681175232,MF_HARD_FALLBACK,2365,0,19,28,30,3,0.19025611877441406,2441,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,44657.0,6.252825430060197,4.2907469272613525,,,0.0,,,0.0,0.0,True,dense+isotropic,0.41348829255371755,True,MF_HARD_FALLBACK_TO_EDP_3SECT(15.08>8.39+1.00),MF_HARD_FALLBACK_BEST_EDP,15.080005404466405,8.393136327665077,0.0,,OK,8.393136327665077,,,,,,,,True,0-0.2,1-1.5,0.3-0.6,0.41348829255371755
core,rat575,575,EUC_2D,0.02608695652173913,2.18859649122807,2.170627858412609,0.9859236015891432,9.275933723407546,0.3245189388921613,0.32391304347826083,dense_interior_elongated,dense,MF_EDP_ILS,7099.0,6773,4.813228997490034,,,,,SKIP,,,SKIP,6773,OPT_TOUR,4.813228997490034,5.396176338195801,,2348,0,20,32,28,0,0.12985801696777344,70,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,44657.0,6.252825430060197,4.2907469272613525,,,0.0,,,0.0,0.0,True,dense,0.32391304347826083,False,,,,,0.0,,OK,4.813228997490034,,,,,,,,True,0-0.2,2-4,0.3-0.6,0.32391304347826083
core,u724,724,EUC_2D,0.020718232044198894,1.8890537453878142,1.8544702724664563,0.9723112089924255,42.9641306605889,0.5022564097278944,0.34747298389749404,dense_interior_isotropic,dense+isotropic,MF_EDP_ILS,44070.0,41910,5.153901216893343,,,,,SKIP,,,SKIP,41910,OPT_TOUR,5.153901216893343,6.65957498550415,MF_HARD_FALLBACK,2388,0,28,18,31,3,0.08591961860656738,419,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,696.0,3.111111111111111,1.0097947120666504,696.0,3.111111111111111,1.0257079601287842,689.0,2.074074074074074,0.3851308822631836,0.0,True,dense+isotropic,0.34747298389749404,True,MF_HARD_FALLBACK_TO_EDP_3SECT(12.16>5.15+1.00),MF_HARD_FALLBACK_BEST_EDP,12.157003101884992,5.153901216893343,0.0,,OK,5.153901216893343,,,,,,,,True,0-0.2,1.5-2,0.3-0.6,0.34747298389749404
core,ulysses22.tsp,22,GEO,0.3181818181818182,4.046451612903225,3.5074640335920857,0.6179639154048733,1.836741020516056,1.6936540411594907,0.4318181818181818,dense_interior_elongated,dense+clustered,MF_EDP_ILS,7100.0,7013,1.240553258234707,,,,,SKIP,,,SKIP,7013,OPT_TOUR,1.240553258234707,0.04703378677368164,,252,0,4,4,4,0,0.0020024776458740234,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,696.0,3.111111111111111,1.0097947120666504,696.0,3.111111111111111,1.0257079601287842,689.0,2.074074074074074,0.3851308822631836,0.0,True,dense+clustered,0.4318181818181818,False,,,,,0.0,,OK,1.240553258234707,,,,,,,,True,0.2-0.35,2-4,1.0+,0.4318181818181818
